date,symbol,rank,final_score,confidence,edge_score,edge_signals,momentum_score,premover_score,entry_price,price_7d_later,return_pct_7d,would_have_won_7d,spy_return_7d,alpha_7d,price_14d_later,return_pct_14d,would_have_won_14d,spy_return_14d,alpha_14d,price_21d_later,return_pct_21d,would_have_won_21d,spy_return_21d,alpha_21d
2024-10-21,DDOG,1,5.4,4.3,0.0,,2.0,3.2,125.83,128.21,1.89,True,-0.64,2.53,124.43,-1.11,False,2.49,-3.6,133.39,6.01,True,1.11,4.9
2024-10-22,FCX,1,5.6,4.3,2.0,RS_LEADER,2.8,3.9,48.54,45.02,-7.25,False,-2.55,-4.7,44.91,-7.48,False,2.65,-10.13,43.73,-9.91,False,1.23,-11.14
2024-10-23,SBUX,1,5.9,3.9,4.0,"RS_LEADER,VOLATILITY_EXPANSION",3.2,5.9,97.66,98.87,1.24,True,-1.21,2.45,98.78,1.15,True,3.26,-2.11,100.09,2.49,True,2.7,-0.21
2024-10-24,TSLA,1,5.2,3.4,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",3.4,5.8,260.48,242.91,-6.75,False,-1.63,-5.12,330.29,26.8,True,3.11,23.69,352.67,35.39,True,2.81,32.58
2024-10-25,TSLA,1,4.4,3.4,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",3.5,3.7,269.16,251.44,-6.58,False,-0.4,-6.18,311.08,15.57,True,2.49,13.08,338.57,25.79,True,3.19,22.6
2024-10-28,GOOGL,1,5.5,4.4,4.0,"RS_LEADER,VOLATILITY_EXPANSION",3.6,3.9,166.77,176.52,5.85,True,1.76,4.09,172.47,3.42,True,0.86,2.56,169.06,1.37,True,3.44,-2.07
2024-10-29,DDOG,1,5.8,4.4,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",7.0,3.7,128.84,129.8,0.75,True,2.42,-1.67,125.94,-2.25,False,1.12,-3.37,151.93,17.92,True,2.92,15.0
2024-10-30,HOOD,1,6.5,4.1,8.0,"MOMENTUM_EXPANSION,BREAKOUT_STRUCTURE,RS_LEADER",7.3,6.6,28.22,30.53,8.19,True,3.15,5.04,35.23,24.84,True,1.76,23.08,37.52,32.96,True,3.88,29.08
2024-10-31,GOOGL,1,6.6,4.8,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.9,4.6,171.1,180.44,5.46,True,5.34,0.12,175.99,2.86,True,3.88,-1.02,171.48,0.22,True,6.19,-5.97
2024-11-01,MRVL,1,6.6,4.5,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",7.9,5.2,84.82,92.77,9.37,True,4.53,4.84,92.98,9.62,True,3.96,5.66,95.93,13.1,True,5.75,7.35
2024-11-04,DASH,1,6.2,5.2,4.0,"RS_LEADER,VOLATILITY_EXPANSION",8.0,2.1,157.24,175.73,11.76,True,4.82,6.94,177.16,12.67,True,4.51,8.16,176.73,12.4,True,6.64,5.76
2024-11-05,TWLO,1,4.8,4.0,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",8.6,1.9,88.69,97.13,9.52,True,2.9,6.62,105.35,18.78,True,3.61,15.17,110.31,24.38,True,5.2,19.18
2024-11-06,AMZN,1,7.1,4.4,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",7.1,7.4,207.06,202.56,-2.17,False,-0.89,-1.28,207.82,0.37,True,1.64,-1.27,227.0,9.63,True,2.86,6.77
2024-11-07,ABNB,1,6.5,4.0,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.5,7.4,147.41,132.2,-10.32,False,-1.27,-9.05,138.3,-6.18,False,0.49,-6.67,137.31,-6.85,False,1.49,-8.34
2024-11-08,NVDA,1,6.4,4.4,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",6.6,5.3,147.69,147.0,-0.47,False,-1.35,0.88,138.28,-6.37,False,0.71,-7.08,134.99,-8.6,False,0.78,-9.38
2024-11-11,SQ,1,5.5,3.8,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.6,4.9,83.44,89.73,7.54,True,-1.39,8.93,92.78,11.19,True,0.81,10.38,98.22,17.71,True,1.46,16.25
2024-11-12,SHOP,1,5.1,4.0,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",7.4,3.4,108.31,106.47,-1.7,False,-0.55,-1.15,111.91,3.32,True,1.17,2.15,115.33,6.48,True,1.25,5.23
2024-11-13,CRWD,1,5.6,4.0,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.9,4.3,347.94,372.27,6.99,True,-0.29,7.28,364.13,4.65,True,1.74,2.91,368.01,5.77,True,1.18,4.59
2024-11-14,TSLA,1,5.8,4.2,4.0,"RS_LEADER,VOLATILITY_EXPANSION",8.1,4.3,311.08,338.57,8.84,True,0.69,8.15,369.4,18.75,True,2.24,16.51,463.11,48.87,True,2.26,46.61
2024-11-15,AMZN,1,7.4,5.2,2.0,VOLATILITY_EXPANSION,6.4,6.0,202.56,207.82,2.6,True,2.56,0.04,227.0,12.07,True,3.78,8.29,231.24,14.16,True,3.16,11.0
2024-11-18,AFRM,1,4.8,3.4,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",8.1,4.5,62.07,68.4,10.2,True,1.78,8.42,68.83,10.89,True,2.79,8.1,63.33,2.03,True,-0.31,2.34
2024-11-19,NET,1,5.6,3.8,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.7,4.9,96.42,99.89,3.6,True,2.08,1.52,111.34,15.47,True,2.15,13.32,108.58,12.61,True,-0.69,13.3
2024-11-20,DASH,1,6.5,4.8,2.0,VOLATILITY_EXPANSION,6.3,4.5,172.34,176.41,2.36,True,2.23,0.13,176.38,2.34,True,2.89,-0.55,170.97,-0.79,False,0.07,-0.86
2024-11-21,MRVL,1,7.5,4.5,2.0,RS_LEADER,6.3,8.3,92.98,95.93,3.17,True,1.72,1.45,108.99,17.22,True,1.81,15.41,113.11,21.65,True,-0.78,22.43
2024-11-22,DDOG,1,4.9,4.0,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",7.1,2.6,154.77,165.88,7.18,True,2.04,5.14,153.0,-1.14,False,1.47,-2.61,148.4,-4.12,False,0.95,-5.07
2024-11-25,EBAY,1,5.6,3.4,7.0,"BREAKOUT_STRUCTURE,RS_LEADER,VOLATILITY_EXPANSION",4.8,7.1,65.0,63.62,-2.12,False,1.54,-3.66,63.63,-2.11,False,1.56,-3.67,63.82,-1.82,False,0.61,-2.43
2024-11-26,MRVL,1,6.5,4.4,4.0,"RS_LEADER,VOLATILITY_EXPANSION",5.8,5.9,93.14,113.39,21.74,True,1.19,20.55,112.24,20.51,True,0.59,19.92,113.69,22.06,True,-0.95,23.01
2024-11-27,DASH,1,6.5,4.4,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",6.4,5.7,178.46,175.67,-1.56,False,1.0,-2.56,165.3,-7.37,False,-2.05,-5.32,169.6,-4.96,False,-1.74,-3.22
2024-11-29,AAPL,1,6.3,4.3,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",5.4,5.8,237.39,247.81,4.39,True,0.07,4.32,249.73,5.2,True,-2.72,7.92,250.54,5.54,True,-2.73,8.27
2024-12-02,MRVL,1,5.7,3.8,5.0,"MOMENTUM_EXPANSION,RS_LEADER",6.0,5.7,96.86,111.27,14.88,True,0.65,14.23,112.19,15.83,True,-2.11,17.94,,,,,
2024-12-03,MRVL,1,5.9,4.0,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.0,5.6,95.93,108.99,13.61,True,0.09,13.52,113.11,17.91,True,-2.45,20.36,,,,,
2024-12-04,DKNG,1,7.3,4.3,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",5.8,8.4,44.77,39.86,-10.97,False,-0.55,-10.42,38.57,-13.85,False,-1.07,-12.78,,,,,
2024-12-05,TSLA,1,7.3,4.6,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",7.9,7.4,369.4,463.11,25.37,True,0.02,25.35,454.15,22.94,True,-0.91,23.85,,,,,
2024-12-06,GTLB,1,5.2,3.6,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",5.8,5.1,67.23,59.13,-12.05,False,-0.6,-11.45,58.06,-13.64,False,-2.12,-11.52,,,,,
2024-12-09,TSLA,1,6.7,4.6,4.0,"RS_LEADER,VOLATILITY_EXPANSION",7.8,5.5,389.99,440.49,12.95,True,-3.02,15.97,417.41,7.03,True,-2.71,9.74,,,,,
2024-12-10,MSFT,1,7.2,5.0,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",8.1,5.3,443.17,437.1,-1.37,False,-2.78,1.41,421.7,-4.84,False,-2.79,-2.05,,,,,
2024-12-11,GOOGL,1,7.2,4.6,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",7.8,6.9,195.46,191.5,-2.03,False,-2.74,0.71,,,,,,,,,,
2024-12-12,NET,1,6.7,4.3,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",9.0,6.2,114.93,111.59,-2.91,False,-2.54,-0.37,,,,,,,,,,
2024-12-13,MRVL,1,6.4,4.3,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",9.2,5.2,120.84,115.99,-4.01,False,-0.52,-3.49,,,,,,,,,,
2024-12-16,AVGO,1,5.6,4.4,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",8.4,2.6,249.99,245.29,-1.88,False,-0.94,-0.94,,,,,,,,,,
2024-12-17,SHOP,1,7.8,4.9,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",7.7,7.5,119.44,108.2,-9.41,False,-1.53,-7.88,,,,,,,,,,
2024-12-18,AAPL,1,8.1,7.2,4.0,"RS_LEADER,VOLATILITY_EXPANSION",8.1,5.0,247.95,252.15,1.69,True,0.32,1.37,,,,,,,,,,
2024-12-19,AAPL,1,7.7,5.7,4.0,"RS_LEADER,VOLATILITY_EXPANSION",8.4,4.8,249.73,250.54,0.32,True,-0.01,0.33,,,,,,,,,,
2024-12-20,AMZN,1,8.3,7.8,2.0,VOLATILITY_EXPANSION,8.3,4.1,225.16,,,,,,,,,,,,,,,
2024-12-23,AAPL,1,8.0,5.8,2.0,RS_LEADER,8.9,5.0,254.26,,,,,,,,,,,,,,,
2024-12-24,AAPL,1,7.6,5.3,2.0,RS_LEADER,9.1,5.2,258.18,,,,,,,,,,,,,,,
2024-12-26,AMZN,1,7.9,6.9,0.0,,7.5,5.4,227.14,,,,,,,,,,,,,,,
2024-12-27,AAPL,1,7.7,6.8,2.0,VOLATILITY_EXPANSION,8.1,4.6,255.63,,,,,,,,,,,,,,,
2024-12-30,RBLX,1,8.2,5.4,0.0,,7.1,6.6,58.46,,,,,,,,,,,,,,,
2024-12-31,GOOGL,1,7.8,7.7,0.0,,8.1,2.9,189.36,,,,,,,,,,,,,,,
