date,symbol,rank,final_score,confidence,edge_score,edge_signals,momentum_score,premover_score,entry_price,price_7d_later,return_pct,would_have_won
2024-01-23,TSLA,1,4.9,4.6,0.0,,1.7,1.0,209.13,188.81,-9.72,False
2024-01-23,META,2,4.0,3.4,2.0,RS_LEADER,2.8,2.3,385.23,394.77,2.48,True
2024-01-23,AAPL,3,3.8,3.3,2.0,RS_LEADER,3.0,2.2,195.13,186.88,-4.23,False
2024-01-24,FCX,1,4.8,3.5,5.0,"MOMENTUM_EXPANSION,VOLATILITY_EXPANSION",2.5,4.0,39.68,40.12,1.11,True
2024-01-24,PINS,2,5.8,4.2,2.0,VOLATILITY_EXPANSION,2.0,4.8,36.55,39.78,8.84,True
2024-01-24,INTC,3,4.4,3.4,4.0,"RS_LEADER,VOLATILITY_EXPANSION",3.0,3.5,49.08,42.59,-13.22,False
2024-01-25,AMAT,1,3.9,3.2,4.0,"RS_LEADER,VOLATILITY_EXPANSION",3.4,2.3,172.7,171.08,-0.94,False
2024-01-25,GOOGL,2,3.7,3.4,4.0,"RS_LEADER,VOLATILITY_EXPANSION",3.0,1.2,151.92,143.59,-5.48,False
2024-01-25,TSLA,3,4.5,4.3,2.0,VOLATILITY_EXPANSION,1.5,1.1,182.63,181.05,-0.87,False
2024-01-26,ABNB,1,4.2,3.2,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",3.3,3.7,149.59,144.51,-3.4,False
2024-01-26,PINS,2,4.7,3.5,2.0,VOLATILITY_EXPANSION,2.7,3.8,37.69,41.06,8.94,True
2024-01-26,INTC,3,4.4,4.2,2.0,VOLATILITY_EXPANSION,1.5,1.1,43.62,42.77,-1.95,False
2024-01-29,SOFI,1,3.9,2.6,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",3.5,5.2,9.15,7.67,-16.17,False
2024-01-29,PINS,2,4.1,3.0,4.0,"RS_LEADER,VOLATILITY_EXPANSION",3.1,3.9,39.19,40.82,4.16,True
2024-01-29,FCX,3,3.5,3.3,4.0,"RS_LEADER,VOLATILITY_EXPANSION",3.2,1.2,40.24,39.2,-2.58,False
2024-01-30,MU,1,5.6,4.2,2.0,VOLATILITY_EXPANSION,3.5,4.4,86.12,84.91,-1.41,False
2024-01-30,META,2,4.2,4.0,5.0,"MOMENTUM_EXPANSION,RS_LEADER",5.1,1.2,400.0,470.1,17.53,True
2024-01-30,DASH,3,5.2,3.7,2.0,VOLATILITY_EXPANSION,3.8,4.7,105.47,118.33,12.19,True
2024-01-31,MSFT,1,7.7,7.1,2.0,VOLATILITY_EXPANSION,6.8,4.7,397.56,420.42,5.75,True
2024-01-31,SBUX,2,6.8,6.6,2.0,VOLATILITY_EXPANSION,5.8,3.9,93.04,97.28,4.56,True
2024-01-31,QCOM,3,6.7,4.9,2.0,VOLATILITY_EXPANSION,6.2,4.6,148.54,151.0,1.66,True
2024-02-01,AMZN,1,7.1,5.2,2.0,VOLATILITY_EXPANSION,6.9,4.9,159.76,172.38,7.9,True
2024-02-01,MSFT,2,7.6,7.0,0.0,,6.9,4.6,403.8,415.26,2.84,True
2024-02-01,CLF,3,4.4,3.6,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.6,2.6,20.38,19.57,-3.97,False
2024-02-02,META,1,7.2,4.8,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",8.6,6.4,474.88,460.16,-3.1,False
2024-02-02,AMZN,2,6.8,4.7,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",7.9,5.7,171.84,168.65,-1.86,False
2024-02-02,MSFT,3,7.3,5.4,2.0,VOLATILITY_EXPANSION,7.2,5.1,411.11,406.57,-1.1,False
2024-02-05,ON,1,5.4,3.6,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",5.6,5.5,77.58,81.69,5.3,True
2024-02-05,MSFT,2,7.8,7.2,0.0,,7.4,4.7,405.45,409.23,0.93,True
2024-02-05,AMZN,3,6.8,4.7,2.0,RS_LEADER,8.0,5.2,170.2,170.97,0.45,True
2024-02-06,SBUX,1,7.2,4.6,2.0,VOLATILITY_EXPANSION,5.8,7.2,95.67,93.24,-2.54,False
2024-02-06,MSFT,2,7.8,7.2,0.0,,7.0,4.8,405.54,406.65,0.27,True
2024-02-06,DASH,3,6.0,4.1,4.0,"RS_LEADER,VOLATILITY_EXPANSION",7.8,5.2,112.38,126.26,12.35,True
2024-02-07,DASH,1,5.8,4.0,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",7.5,5.1,114.31,116.0,1.48,True
2024-02-07,NET,2,5.6,3.9,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.0,5.0,83.34,98.49,18.18,True
2024-02-07,RBLX,3,5.0,3.4,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.5,4.9,44.75,42.92,-4.09,False
2024-02-08,SHOP,1,5.6,3.9,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",7.1,4.8,87.91,78.59,-10.6,False
2024-02-08,NET,2,5.6,3.7,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",7.3,5.4,90.42,98.17,8.57,True
2024-02-08,MSFT,3,7.1,5.1,3.0,BREAKOUT_STRUCTURE,6.6,5.3,414.02,402.91,-2.68,False
2024-02-09,NET,1,5.2,3.8,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",8.1,3.9,107.91,95.14,-11.83,False
2024-02-09,MSFT,2,6.8,4.6,3.0,BREAKOUT_STRUCTURE,6.7,5.9,420.42,402.17,-4.34,False
2024-02-09,AMAT,3,6.2,4.3,4.0,"RS_LEADER,VOLATILITY_EXPANSION",7.8,5.0,185.84,190.13,2.31,True
2024-02-12,MSFT,1,7.2,4.9,3.0,BREAKOUT_STRUCTURE,5.9,6.1,415.26,411.35,-0.94,False
2024-02-12,DKNG,2,5.8,3.8,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",6.9,5.7,43.64,40.83,-6.44,False
2024-02-12,AMZN,3,6.4,4.2,3.0,BREAKOUT_STRUCTURE,6.2,6.1,172.38,174.55,1.26,True
2024-02-13,CRWD,1,5.9,4.2,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",7.8,4.5,322.45,311.62,-3.36,False
2024-02-13,ABNB,2,6.5,4.7,2.0,RS_LEADER,7.3,4.8,151.02,152.65,1.08,True
2024-02-13,DKNG,3,5.3,3.8,4.0,"RS_LEADER,VOLATILITY_EXPANSION",7.0,4.2,42.67,41.27,-3.28,False
2024-02-14,COIN,1,5.2,3.6,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",7.8,4.6,160.37,193.96,20.95,True
2024-02-14,DASH,2,5.7,3.8,5.0,"MOMENTUM_EXPANSION,RS_LEADER",7.0,5.0,119.96,119.89,-0.06,False
2024-02-14,ABNB,3,6.1,4.5,2.0,VOLATILITY_EXPANSION,6.0,4.5,148.22,149.26,0.7,True
2024-02-15,DASH,1,5.8,3.9,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",7.5,5.2,126.26,123.76,-1.98,False
2024-02-15,META,2,6.4,4.4,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",7.4,5.2,484.09,487.08,0.62,True
2024-02-15,COIN,3,5.2,3.8,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",8.2,4.2,165.69,199.12,20.18,True
2024-02-16,AMAT,1,6.0,4.2,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",7.7,4.7,199.5,197.58,-0.96,False
2024-02-16,DKNG,2,6.0,4.0,4.0,"RS_LEADER,VOLATILITY_EXPANSION",7.0,5.7,44.58,42.28,-5.16,False
2024-02-16,COIN,3,4.6,3.8,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",8.4,2.2,180.23,200.88,11.46,True
2024-02-20,AMAT,1,6.0,4.2,4.0,"RS_LEADER,VOLATILITY_EXPANSION",7.8,4.8,189.14,201.57,6.57,True
2024-02-20,AMZN,2,7.5,7.2,0.0,,6.6,3.9,167.1,176.62,5.7,True
