date,symbol,rank,final_score,confidence,edge_score,edge_signals,momentum_score,premover_score,entry_price,price_7d_later,return_pct_7d,would_have_won_7d,spy_return_7d,alpha_7d,price_14d_later,return_pct_14d,would_have_won_14d,spy_return_14d,alpha_14d,price_21d_later,return_pct_21d,would_have_won_21d,spy_return_21d,alpha_21d
2024-04-22,SBUX,1,4.2,3.7,5.0,"MOMENTUM_EXPANSION,RS_LEADER",3.5,2.0,88.0,74.47,-15.38,False,0.45,-15.83,76.14,-13.48,False,4.61,-18.09,77.75,-11.65,False,6.73,-18.38
2024-04-22,FCX,2,5.0,4.5,2.0,RS_LEADER,3.2,1.6,48.23,49.91,3.48,True,0.45,3.03,51.59,6.97,True,4.61,2.36,54.33,12.65,True,6.73,5.92
2024-04-22,SHOP,3,4.9,4.5,2.0,RS_LEADER,3.2,1.2,70.09,70.44,0.5,True,0.45,0.05,58.94,-15.91,False,4.61,-20.52,57.02,-18.65,False,6.73,-25.38
2024-04-23,META,1,5.1,4.8,2.0,VOLATILITY_EXPANSION,2.2,1.0,491.68,441.85,-10.13,False,0.63,-10.76,468.16,-4.78,False,3.8,-8.58,467.87,-4.84,False,5.57,-10.41
2024-04-23,SHOP,2,4.4,4.0,2.0,RS_LEADER,3.2,1.4,71.46,71.99,0.74,True,0.63,0.11,58.77,-17.76,False,3.8,-21.56,58.73,-17.81,False,5.57,-23.38
2024-04-23,GOOGL,3,5.2,4.6,0.0,,3.0,1.9,157.03,166.66,6.13,True,0.63,5.5,169.27,7.79,True,3.8,3.99,176.34,12.3,True,5.57,6.73
2024-04-24,GOOGL,1,5.4,4.2,2.0,RS_LEADER,2.9,3.6,157.46,167.25,6.22,True,0.93,5.29,170.25,8.12,True,3.3,4.82,173.57,10.23,True,3.83,6.4
2024-04-24,ABNB,2,4.4,4.0,2.0,RS_LEADER,3.0,1.5,164.47,159.65,-2.93,False,0.93,-3.86,146.84,-10.72,False,3.3,-14.02,141.08,-14.22,False,3.83,-18.05
2024-04-24,DDOG,3,4.3,3.4,2.0,VOLATILITY_EXPANSION,2.5,3.3,126.78,124.24,-2.0,False,0.93,-2.93,116.75,-7.91,False,3.3,-11.21,122.2,-3.61,False,3.83,-7.44
2024-04-25,EBAY,1,4.4,3.8,5.0,"MOMENTUM_EXPANSION,RS_LEADER",3.1,2.2,50.66,49.36,-2.57,False,3.49,-6.06,52.44,3.51,True,6.15,-2.64,54.43,7.44,True,6.08,1.36
2024-04-25,TSLA,2,3.4,3.0,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",3.2,2.0,158.89,184.89,16.36,True,3.49,12.87,174.07,9.55,True,6.15,3.4,179.25,12.81,True,6.08,6.73
2024-04-25,META,3,4.8,4.4,2.0,VOLATILITY_EXPANSION,2.3,1.7,421.0,465.54,10.58,True,3.49,7.09,481.66,14.41,True,6.15,8.26,478.11,13.57,True,6.08,7.49
2024-04-26,NEM,1,4.1,3.0,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",3.3,3.8,43.3,41.44,-4.3,False,2.14,-6.44,42.85,-1.04,False,4.43,-5.47,42.39,-2.1,False,4.63,-6.73
2024-04-26,GOOGL,2,5.8,4.1,2.0,VOLATILITY_EXPANSION,2.2,5.4,174.32,171.2,-1.79,False,2.14,-3.93,174.11,-0.12,False,4.43,-4.55,176.4,1.19,True,4.63,-3.44
2024-04-26,AMZN,3,5.0,4.1,2.0,VOLATILITY_EXPANSION,1.7,3.0,177.81,188.7,6.12,True,2.14,3.98,183.63,3.27,True,4.43,-1.16,182.18,2.46,True,4.63,-2.17
2024-04-29,GOOGL,1,5.1,3.9,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",5.3,3.8,169.01,169.38,0.22,True,1.36,-1.14,176.11,4.2,True,3.77,0.43,175.95,4.11,True,3.11,1.0
2024-04-29,SNAP,2,4.6,3.0,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",5.5,5.7,14.48,16.73,15.54,True,1.36,14.18,16.06,10.91,True,3.77,7.14,15.16,4.7,True,3.11,1.59
2024-04-29,DDOG,3,4.7,3.7,5.0,"MOMENTUM_EXPANSION,RS_LEADER",5.1,3.7,131.96,117.3,-11.11,False,1.36,-12.47,120.11,-8.98,False,3.77,-12.75,121.66,-7.81,False,3.11,-10.92
2024-04-30,TSLA,1,5.4,4.1,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",7.2,3.7,186.96,171.98,-8.01,False,2.33,-10.34,175.0,-6.4,False,4.27,-10.67,178.76,-4.39,False,2.82,-7.21
2024-04-30,FCX,2,5.7,4.3,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",7.8,3.7,50.58,51.09,1.01,True,2.33,-1.32,54.87,8.48,True,4.27,4.21,52.31,3.42,True,2.82,0.6
2024-04-30,GOOGL,3,5.9,4.6,4.0,"RS_LEADER,VOLATILITY_EXPANSION",8.0,3.2,165.85,169.98,2.49,True,2.33,0.16,176.94,6.69,True,4.27,2.42,172.12,3.78,True,2.82,0.96
2024-05-01,PYPL,1,6.4,4.4,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",7.9,5.4,67.16,62.9,-6.34,False,3.88,-10.22,64.11,-4.54,False,5.98,-10.52,63.0,-6.19,False,5.18,-11.37
2024-05-01,AAPL,2,6.5,5.4,4.0,"RS_LEADER,VOLATILITY_EXPANSION",6.9,2.8,169.82,183.01,7.77,True,3.88,3.89,192.37,13.28,True,5.98,7.3,192.31,13.24,True,5.18,8.06
2024-05-01,GOOGL,3,6.4,4.7,4.0,"RS_LEADER,VOLATILITY_EXPANSION",8.1,4.2,164.35,168.61,2.59,True,3.88,-1.29,177.86,8.22,True,5.98,2.24,172.5,4.96,True,5.18,-0.22
2024-05-02,PINS,1,6.5,4.2,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",8.3,6.5,40.87,41.89,2.5,True,3.33,-0.83,41.37,1.22,True,5.09,-3.87,41.17,0.73,True,4.68,-3.95
2024-05-02,FCX,2,5.9,4.7,4.0,"RS_LEADER,VOLATILITY_EXPANSION",7.4,3.1,49.37,52.04,5.41,True,3.33,2.08,51.23,3.77,True,5.09,-1.32,52.04,5.41,True,4.68,0.73
2024-05-02,SNAP,3,4.6,3.8,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",8.7,2.1,15.99,15.75,-1.5,False,3.33,-4.83,15.91,-0.5,False,5.09,-5.59,15.33,-4.13,False,4.68,-8.81
