date,symbol,rank,final_score,confidence,edge_score,edge_signals,momentum_score,premover_score,entry_price,price_7d_later,return_pct_7d,would_have_won_7d,spy_return_7d,alpha_7d,price_14d_later,return_pct_14d,would_have_won_14d,spy_return_14d,alpha_14d,price_21d_later,return_pct_21d,would_have_won_21d,spy_return_21d,alpha_21d
2024-07-22,ABNB,1,4.5,4.0,2.0,RS_LEADER,3.3,1.9,150.15,139.51,-7.09,False,-0.77,-6.32,115.09,-23.35,False,-3.92,-19.43,117.4,-21.81,False,0.72,-22.53
2024-07-22,AAPL,2,5.1,4.8,0.0,,2.3,1.0,224.16,222.18,-0.88,False,-0.77,-0.11,216.16,-3.57,False,-3.92,0.35,226.53,1.06,True,0.72,0.34
2024-07-22,AMZN,3,5.1,4.8,0.0,,2.2,1.0,182.69,187.03,2.38,True,-0.77,3.15,166.96,-8.61,False,-3.92,-4.69,178.9,-2.07,False,0.72,-2.79
2024-07-23,NKE,1,4.7,4.3,4.0,"RS_LEADER,VOLATILITY_EXPANSION",3.4,1.3,73.39,73.85,0.63,True,-1.9,2.53,74.64,1.7,True,-3.68,5.38,83.97,14.42,True,1.26,13.16
2024-07-23,PINS,2,5.0,4.6,2.0,RS_LEADER,3.3,1.2,40.8,31.23,-23.46,False,-1.9,-21.56,29.01,-28.9,False,-3.68,-25.22,32.52,-20.29,False,1.26,-21.55
2024-07-23,AAPL,3,5.7,4.8,0.0,,2.4,2.6,224.92,218.51,-2.85,False,-1.9,-0.95,217.6,-3.25,False,-3.68,0.43,226.32,0.62,True,1.26,-0.64
2024-07-24,AAPL,1,6.0,4.9,2.0,VOLATILITY_EXPANSION,2.7,3.1,218.59,219.81,0.56,True,-1.53,2.09,221.21,1.2,True,0.14,1.06,224.7,2.8,True,2.78,0.02
2024-07-24,META,2,5.4,4.4,2.0,RS_LEADER,3.5,3.0,461.43,488.06,5.77,True,-1.53,7.3,528.5,14.54,True,0.14,14.4,532.21,15.34,True,2.78,12.56
2024-07-24,MSFT,3,5.4,4.4,2.0,VOLATILITY_EXPANSION,2.9,3.0,428.97,408.52,-4.77,False,-1.53,-3.24,413.78,-3.54,False,0.14,-3.68,415.74,-3.08,False,2.78,-5.86
2024-07-25,NEM,1,5.7,4.2,2.0,VOLATILITY_EXPANSION,2.7,4.4,45.69,47.05,2.98,True,-3.9,6.88,49.13,7.53,True,1.0,6.53,52.04,13.9,True,4.4,9.5
2024-07-25,DASH,2,4.8,4.5,4.0,"RS_LEADER,VOLATILITY_EXPANSION",3.2,1.2,100.81,121.34,20.37,True,-3.9,24.27,126.94,25.92,True,1.0,24.92,128.76,27.73,True,4.4,23.33
2024-07-25,AMZN,3,5.3,5.0,2.0,VOLATILITY_EXPANSION,3.0,1.0,179.89,161.06,-10.47,False,-3.9,-6.57,170.03,-5.48,False,1.0,-6.48,177.08,-1.56,False,4.4,-5.96
2024-07-26,MSFT,1,5.2,4.9,2.0,VOLATILITY_EXPANSION,2.5,1.0,425.53,399.42,-6.14,False,-4.09,-2.05,420.87,-1.1,False,1.58,-2.68,413.59,-2.81,False,3.02,-5.83
2024-07-26,EBAY,2,5.4,4.2,0.0,,3.2,3.6,54.2,55.91,3.15,True,-4.09,7.24,55.85,3.04,True,1.58,1.46,59.01,8.87,True,3.02,5.85
2024-07-26,AAPL,3,5.2,4.9,0.0,,2.5,1.0,218.03,207.14,-4.99,False,-4.09,-0.9,224.69,3.05,True,1.58,1.47,227.24,4.22,True,3.02,1.2
