date,symbol,rank,final_score,confidence,edge_score,edge_signals,momentum_score,premover_score,entry_price,price_7d_later,return_pct_7d,would_have_won_7d,price_14d_later,return_pct_14d,would_have_won_14d,price_21d_later,return_pct_21d,would_have_won_21d
2024-10-21,DDOG,1,5.4,4.3,0.0,,2.0,3.2,125.83,128.21,1.89,True,124.43,-1.11,False,133.39,6.01,True
2024-10-21,MSFT,2,5.0,4.5,0.0,,2.6,1.8,418.9,433.74,3.54,True,422.73,0.91,True,417.64,-0.3,False
2024-10-21,TSLA,3,5.0,4.7,0.0,,2.5,1.0,218.9,257.6,17.68,True,321.18,46.72,True,345.88,58.01,True
2024-10-22,FCX,1,5.6,4.3,2.0,RS_LEADER,2.8,3.9,48.54,45.02,-7.25,False,44.91,-7.48,False,43.73,-9.91,False
2024-10-22,MSFT,2,5.1,3.8,2.0,VOLATILITY_EXPANSION,2.7,3.9,427.54,406.37,-4.95,False,418.19,-2.19,False,415.52,-2.81,False
2024-10-22,PYPL,3,5.5,4.3,0.0,,2.6,3.6,80.91,79.3,-1.99,False,86.97,7.49,True,84.73,4.72,True
2024-10-23,SBUX,1,5.9,3.9,4.0,"RS_LEADER,VOLATILITY_EXPANSION",3.2,5.9,97.66,98.87,1.24,True,98.78,1.15,True,100.09,2.49,True
2024-10-23,AAPL,2,6.7,5.0,2.0,VOLATILITY_EXPANSION,2.9,5.1,230.68,222.86,-3.39,False,224.26,-2.78,False,228.48,-0.95,False
2024-10-23,MSFT,3,5.5,4.2,4.0,"RS_LEADER,VOLATILITY_EXPANSION",3.2,3.8,424.56,410.36,-3.34,False,423.22,-0.32,False,412.8,-2.77,False
2024-10-24,TSLA,1,5.2,3.4,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",3.4,5.8,260.48,242.91,-6.75,False,330.29,26.8,True,352.67,35.39,True
2024-10-24,SBUX,2,4.7,4.1,4.0,"RS_LEADER,VOLATILITY_EXPANSION",2.9,2.0,97.1,97.05,-0.05,False,99.82,2.8,True,102.5,5.56,True
2024-10-24,MSFT,3,5.4,4.2,2.0,RS_LEADER,3.0,3.6,424.82,408.66,-3.8,False,425.14,0.08,True,416.76,-1.9,False
2024-10-25,TSLA,1,4.4,3.4,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",3.5,3.7,269.16,251.44,-6.58,False,311.08,15.57,True,338.57,25.79,True
2024-10-25,GOOGL,2,5.7,4.6,2.0,RS_LEADER,3.0,3.2,165.27,169.74,2.7,True,175.59,6.24,True,167.62,1.42,True
2024-10-25,ON,3,3.9,3.3,5.0,"MOMENTUM_EXPANSION,RS_LEADER",3.2,2.4,71.25,70.22,-1.45,False,67.02,-5.94,False,72.41,1.63,True
2024-10-28,GOOGL,1,5.5,4.4,4.0,"RS_LEADER,VOLATILITY_EXPANSION",3.6,3.9,166.77,176.52,5.85,True,172.47,3.42,True,169.06,1.37,True
2024-10-28,ON,2,4.2,3.3,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",3.8,3.7,72.22,72.25,0.04,True,64.75,-10.34,False,70.85,-1.9,False
2024-10-28,PYPL,3,5.0,3.8,5.0,"MOMENTUM_EXPANSION,RS_LEADER",4.6,4.1,83.62,81.4,-2.65,False,85.8,2.61,True,86.93,3.96,True
2024-10-29,DDOG,1,5.8,4.4,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",7.0,3.7,128.84,129.8,0.75,True,125.94,-2.25,False,151.93,17.92,True
2024-10-29,ON,2,4.6,3.6,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",5.6,3.7,74.72,72.04,-3.59,False,66.49,-11.01,False,70.27,-5.96,False
2024-10-29,HOOD,3,5.2,3.9,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",7.0,3.7,28.02,29.34,4.71,True,35.01,24.95,True,37.65,34.37,True
2024-10-30,HOOD,1,6.5,4.1,8.0,"MOMENTUM_EXPANSION,BREAKOUT_STRUCTURE,RS_LEADER",7.3,6.6,28.22,30.53,8.19,True,35.23,24.84,True,37.52,32.96,True
2024-10-30,ABNB,2,7.0,4.6,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",6.5,6.6,136.72,134.57,-1.57,False,131.44,-3.86,False,136.13,-0.43,False
2024-10-30,SNAP,3,6.1,3.6,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.7,7.3,12.6,12.0,-4.76,False,10.51,-16.59,False,11.81,-6.27,False
2024-10-31,GOOGL,1,6.6,4.8,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.9,4.6,171.1,180.44,5.46,True,175.99,2.86,True,171.48,0.22,True
2024-10-31,DASH,2,6.9,5.2,4.0,"RS_LEADER,VOLATILITY_EXPANSION",7.8,4.4,156.72,174.83,11.56,True,172.34,9.97,True,176.41,12.56,True
2024-10-31,SBUX,3,6.9,4.6,4.0,"RS_LEADER,VOLATILITY_EXPANSION",5.7,6.6,97.61,100.32,2.78,True,98.26,0.67,True,101.49,3.98,True
2024-11-01,MRVL,1,6.6,4.5,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",7.9,5.2,84.82,92.77,9.37,True,92.98,9.62,True,95.93,13.1,True
2024-11-01,AMZN,2,6.7,4.6,5.0,"MOMENTUM_EXPANSION,RS_LEADER",7.2,5.8,197.86,208.95,5.6,True,198.35,0.25,True,213.41,7.86,True
2024-11-01,DASH,3,7.0,5.3,4.0,"RS_LEADER,VOLATILITY_EXPANSION",7.3,4.5,156.12,176.49,13.05,True,173.16,10.91,True,176.08,12.79,True
2024-11-04,DASH,1,6.2,5.2,4.0,"RS_LEADER,VOLATILITY_EXPANSION",8.0,2.1,157.24,175.73,11.76,True,177.16,12.67,True,176.73,12.4,True
2024-11-04,AMZN,2,7.0,5.0,2.0,RS_LEADER,7.6,5.0,195.79,214.08,9.34,True,197.07,0.65,True,218.1,11.39,True
2024-11-04,TWLO,3,4.8,4.0,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",8.5,2.1,87.51,99.88,14.14,True,104.37,19.27,True,109.95,25.64,True
2024-11-05,TWLO,1,4.8,4.0,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",8.6,1.9,88.69,97.13,9.52,True,105.35,18.78,True,110.31,24.38,True
2024-11-05,AMZN,2,6.5,4.6,2.0,RS_LEADER,7.5,5.4,199.5,211.45,5.99,True,201.44,0.97,True,220.57,10.56,True
2024-11-05,INTC,3,5.5,3.8,4.0,"RS_LEADER,VOLATILITY_EXPANSION",5.5,5.2,23.34,25.04,7.28,True,24.86,6.51,True,20.81,-10.84,False
2024-11-06,AMZN,1,7.1,4.4,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",7.1,7.4,207.06,202.56,-2.17,False,207.82,0.37,True,227.0,9.63,True
2024-11-06,SQ,2,6.5,3.8,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.7,7.5,77.61,84.33,8.66,True,89.0,14.68,True,98.27,26.62,True
2024-11-06,NVDA,3,7.0,4.3,4.0,"RS_LEADER,VOLATILITY_EXPANSION",6.4,7.4,145.5,141.91,-2.47,False,136.88,-5.92,False,142.47,-2.08,False
2024-11-07,ABNB,1,6.5,4.0,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.5,7.4,147.41,132.2,-10.32,False,138.3,-6.18,False,137.31,-6.85,False
2024-11-07,INTC,2,5.5,3.8,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.6,4.9,26.25,24.85,-5.33,False,23.64,-9.94,False,20.82,-20.69,False
